2018-11-19 04:48:56 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\58.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:23200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:56 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\59.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:23600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:57 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\60.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:24000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:57 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\61.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:24400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:57 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\62.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:24800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:57 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\63.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:25200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:58 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\64.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:25600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:58 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\65.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:26000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:58 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\66.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:26400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:58 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\67.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:26800000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:59 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\68.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:27200000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:59 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-2', file to read: C:\temp\split\69.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:27600000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:59 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-3', file to read: C:\temp\split\70.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:28000000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:48:59 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-4', file to read: C:\temp\split\71.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:28400000, write file length = 400000, user command: 'MERGE'}
2018-11-19 04:49:00 INFO  RunApplication:42 - FileTransfer started. FileTransfer { thread name: 'pool-2-thread-1', file to read: C:\temp\split\72.mp4, file to read offset = 0, file to write: C:\temp\split\original.mp4, file to write offset:28800000, write file length = 400000, user command: 'MERGE'}
